Sprint,Title,Story Points,Value,Text,ID Number,Title,Role,Goal,Benefit,,PBI
2,Cloud Migration,6,35,,1,Cloud Migration,CTO,the application moved from out local data center into the cloud and architected to ensure redundancy across multiple zones,the system is more robust in the event of a failure of computing infrastructure.,,"As a CTO, I want the application moved from out local data center into the cloud and architected to ensure redundancy across multiple zones so that the system is more robust in the event of a failure of computing infrastructure."
,,8,35,,2,Common Platform,CTO,the application to use a common code base for both iOS and Android Deployments,"the developers do not need to maintain two separate applications, one for Android and one for iOS.",,"As a CTO, I want the application to use a common code base for both iOS and Android Deployments so that the developers do not need to maintain two separate applications, one for Android and one for iOS."
,,6,60,,3,User Relationships,User,the application to support multiple users to safely access a single account and perform operations on a single account,spouses can jointly manage transactions and a parent can aid a child using money zoom while away at college,,"As a User, I want the application to support multiple users to safely access a single account and perform operations on a single account so that spouses can jointly manage transactions and a parent can aid a child using money zoom while away at college"
,,8,50,,4,Currency Conversion,User,the application to support transfers made in a foreign currency and converted to American Dollars,"the user can use the application while vacationing in Canada, Mexico, and the Bahamas.",,"As a User, I want the application to support transfers made in a foreign currency and converted to American Dollars so that the user can use the application while vacationing in Canada, Mexico, and the Bahamas."
,,4,100,,5,Advertisement Targeting,Vendor,the application to allow me to access users transfer habits and purchasing with the application,"the users of the application can be targeted with advertisements and other offers from vendors, increasing the value of the product.",,"As a Vendor, I want the application to allow me to access users transfer habits and purchasing with the application so that the users of the application can be targeted with advertisements and other offers from vendors, increasing the value of the product."
,,6,60,,6,Transaction Categorization and Budgeting,User,my transactions to be automatically categorized and allow me to set budgets,so that I can track and control my expenses,,"As a User, I want my transactions to be automatically categorized and allow me to set budgets so that so that I can track and control my expenses"
,,6,50,,7,In-App Chat for Transfers,User,to include a message with my transfer and be able to chat with the recipient,I can communicate with the person receiving my payment.,the recipient knows the reason for the payment.,"As a User, I want to include a message with my transfer and be able to chat with the recipient so that I can communicate with the person receiving my payment."
,,4,50,,8,Scheduled Payments,user,to schedule recurring payments,I don’t have to remember and manually pay them each time,,"As a user, I want to schedule recurring payments so that I don’t have to remember and manually pay them each time"
,,3,50,,9,Digital Receipts for Bill Payments,user,to receive digital receipts for each payment,I have proof of payment for my records or tax purposes,,"As a user, I want to receive digital receipts for each payment so that I have proof of payment for my records or tax purposes"
,,8,80,,10,Integration with Budgeting Software,user,"the system to be able to interact with budgeting and financial tracking software (aka Quicken, Microsoft Money, Banktivity, YNAB)",I can use the existing tracking software that I am familiar with to budget and track expenses over time,,"As a user, I want the system to be able to interact with budgeting and financial tracking software (aka Quicken, Microsoft Money, Banktivity, YNAB) so that I can use the existing tracking software that I am familiar with to budget and track expenses over time"
,,9,60,,11,Microservices Architecture,CTO,the system to be redesigned to use a microservices architecture and platform engineering,"the system is easier to maintain and can be extended easier and also is more robust.
Note: If Cloud Migration has already been performed, this PBI will only require 6 story points instead of 9.",,"As a CTO, I want the system to be redesigned to use a microservices architecture and platform engineering so that the system is easier to maintain and can be extended easier and also is more robust.
Note: If Cloud Migration has already been performed, this PBI will only require 6 story points instead of 9."
