Sprint,Title,Story Points,Value,Text,Count,Title,Role,Goal,Benefit,,PBI
1,Add Logging,2,5,"Put ‘logging’ into the app, so that it sends a record of everything that’s happened back to the server. So, if there are security problems the developers can work out what has happened.",1,Logging and Monitoring,Developer,the app to log all user and system actions to the server,I can diagnose security issues when they occur,,"As a Developer, I want the app to log all user and system actions to the server so that I can diagnose security issues when they occur"
1,Backup Server,1,10,"Arrange immediate and regular ‘backups’  of the server (copies of all its data on a  separate system somewhere).  So, if something goes wrong we’ll have a recent version of all our data to ‘restore’ to.",2,Data Backup,System Administrator,to schedule regular backups of server data to an offsite location,we can restore operations quickly in case of a failure or breach,,"As a System Administrator, I want to schedule regular backups of server data to an offsite location so that we can restore operations quickly in case of a failure or breach"
1,Enforce Complex Passwords,1,15,"Add checks to the app to ensure that every user password is at least 8 characters with upper case, lower case and numerals.",3,Password Security Rules,User,"the app to enforce passwords that include uppercase, lowercase, and numbers with a minimum of 8 characters",my account is more secure,,"As a User, I want the app to enforce passwords that include uppercase, lowercase, and numbers with a minimum of 8 characters so that my account is more secure"
1,Credential Changes,2,15,Make the app enforce regular changes of user passwords.,4,Password Change,Security Officer,the app to require users to change their passwords regularly,compromised credentials cannot be used long-term,,"As a Security Officer, I want the app to require users to change their passwords regularly so that compromised credentials cannot be used long-term"
1,HTTPS in Protocol,2,20,Upgrade the network communication between the app and the server to use the secure HTTPS rather than HTTP. That stops anyone reading the messages sent between  app and server.,5,Secure Network Communication,User,all app-server communications to use HTTPS,my data cannot be intercepted by attackers,,"As a User, I want all app-server communications to use HTTPS so that my data cannot be intercepted by attackers"
1,Review of App Code,4,10,"Have an external security expert do a detailed review of the app design and code, and tell us any problems. We’ll put in any quick fixes we can.",6,Security Review of Application,Product Owner,an external security expert to perform code and design reviews of the app,we can fix any vulnerabilities early,,"As a Product Owner, I want an external security expert to perform code and design reviews of the app so that we can fix any vulnerabilities early"
1,Detect Jailbroken Devices,2,15,Put in app functionality to refuse to work on Jailbroken devices (where the user has  an insecure version of the operating system).,7,Device Integrity Check,Developer,the app to detect and block usage on jailbroken or rooted devices,we can reduce the risk of compromised environments,,"As a Developer, I want the app to detect and block usage on jailbroken or rooted devices so that we can reduce the risk of compromised environments"
1,Server Penetration Testing,4,5,"Get an external security specialist to attempt to ‘break into’ the server, and report what weaknesses are found. We’ll get any required patches up to date.",8,Server Penetration Testing,CTO,an external security expert to attempt to breach the server,we can identify and patch security weaknesses,,"As a CTO, I want an external security expert to attempt to breach the server so that we can identify and patch security weaknesses"
1,Server Patches,2,5,,9,Server Patches,CTO,the IT team ensure that all software versions are current and patched,we can ensure that all known vulnerabilities have been removed and all functions are operating properly.,,"As a CTO, I want the IT team ensure that all software versions are current and patched so that we can ensure that all known vulnerabilities have been removed and all functions are operating properly."
2,Two Factor Authentication,4,10,Make each new login from the phone include a text to the user’s mobile number or a code from an authentication app,10,Two Factor Authentication,User, the login process to include a verification code sent to my phone or authentication app,my account is protected even if my password is stolen,,"As a User, I want  the login process to include a verification code sent to my phone or authentication app so that my account is protected even if my password is stolen"
2,Review of Server Code,4,5,Have an external security expert do a detailed review of the server and its code and tell us any problems. We’ll put in any quick fixes we can.,11,Security Review of Server Code,Product Owner,an external security expert to review the server configuration and code,we can mitigate backend vulnerabilities,,"As a Product Owner, I want an external security expert to review the server configuration and code so that we can mitigate backend vulnerabilities"
2,Prevent Access to Office,4,10,"Prevent access to your office systems. Put in ‘firewall’ gadgets to protect the office systems  from attacks over the web, such as email  phishing.",12,Network Protection,IT Administrator,firewall systems and phishing filters in place for office networks,internal systems are protected from external threats,,"As a IT Administrator, I want firewall systems and phishing filters in place for office networks so that internal systems are protected from external threats"
2,Prevent Access to Office,3,5,Store all secret software ‘keys’  and  passwords using a Hardware Security Module.,13,Hardware Security Module,Security Engineer,all sensitive credentials and encryption keys to be stored in a Hardware Security Module (HSM),they are not exposed to unauthorized access,,"As a Security Engineer, I want all sensitive credentials and encryption keys to be stored in a Hardware Security Module (HSM) so that they are not exposed to unauthorized access"
2,Contingency Plan,4,15,Set up a plan with marketing and management how to handle the publicity from a security breach.,14,Incident Communication,Marketing Lead,a communications plan for security breaches,we can respond to incidents transparently and protect the brand,,"As a Marketing Lead, I want a communications plan for security breaches so that we can respond to incidents transparently and protect the brand"
,,,,,,,,,,,
,,,,,,,,,,,
PT,Encrypt & Hide Data on Server,2,10,"Make the server data be encrypted, unlocked only by software ‘keys’ in the server process, and make backups be held offline only. So, an attacker who gains access to the computer system running the server won’t be able to read any server data.",15,Encrypt & Hide Data on Server,Penetration Tester,"the server data to be properly encrypted, unlocked only by software ‘keys’ in the server process, and backups to be stored offline only in an encrypted format",an attacker who gains access to the computer system running the server won’t be able to read any server data.,,"As a Penetration Tester, I want the server data to be properly encrypted, unlocked only by software ‘keys’ in the server process, and backups to be stored offline only in an encrypted format so that an attacker who gains access to the computer system running the server won’t be able to read any server data."
PT,"Network Monitoring
for Server",8,10,Put in a specialist ‘network monitoring’ system around the server access to detect unusual network traffic that suggests an attack and stop it.,16,"Network Monitoring
for Server",Penetration Tester,to put in a specialist ‘network monitoring’ system around the server access to detect unusual network traffic that suggests an attack,the operations team can detect a potential attack and mitigate it before it is successful.,,"As a Penetration Tester, I want to put in a specialist ‘network monitoring’ system around the server access to detect unusual network traffic that suggests an attack so that the operations team can detect a potential attack and mitigate it before it is successful."
PT,Honeytrap in Server,4,5,"Put functionality in the server to make it look as if there’s nothing much for a hacker to find there. What they’ll find looks like ‘live data’, but isn’t.",17,Honeytrap in server,Penetration Tester,the development team to place a honeypot in the system to make it look as if there’s nothing much for a hacker to find there but what they’ll find appears to be live data,adversaries have a more challenging time hacking the network and are not able to traverse the network as quickly.,,"As a Penetration Tester, I want the development team to place a honeypot in the system to make it look as if there’s nothing much for a hacker to find there but what they’ll find appears to be live data so that adversaries have a more challenging time hacking the network and are not able to traverse the network as quickly."
PT,"Filtered Logging
for Server",4,15,Change the server ‘logging’ (a record of everything that’s happened on the server to help developers) not to store any user-identifying information.,18,Filter server logs,Penetration Tester,the development team to change the logging on the system to ensure that the logs are anonymous and all entries are de-identified,an adversary is not able to use the logs to attack the system.,,"As a Penetration Tester, I want the development team to change the logging on the system to ensure that the logs are anonymous and all entries are de-identified so that an adversary is not able to use the logs to attack the system."
